"","Group","Protein","Log2_FC","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Abundance","Significance"
"102","CR-A:AL-A","FBLN1",0.144389909335175,-5.33333333333334,50.6666666666667,56,-1.4368424162142,0.240865276225773,3.2,-16.7391916052867,6.07252493862004,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"103","CR-A:AL-A","FBLN3",0.25652109887512,-12,61.6666666666667,73.6666666666667,-5.83997116070746,0.0248325569172932,2.10802919708029,-20.4208144086968,-3.57918559130319,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"104","CR-A:AL-A","FCN1",0.108934371553164,-1.33333333333333,17,18.3333333333333,-0.48867777742522,0.668550544716906,2.25294855708908,-11.8960391271777,9.22937246051109,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"105","CR-A:AL-A","FETUA",0.184660479083483,-55.6666666666666,407.666666666667,463.333333333333,-3.29227859222136,0.0712331421069128,2.20201374460604,-122.381028335272,11.0476950019392,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"106","CR-A:AL-A","FETUB",0.144389909335175,-10.6666666666667,101.333333333333,112,-4,0.0394612175857993,2.48392965433596,-20.2433488060304,-1.08998452730291,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"107","CR-A:AL-A","FIBA",-2.37778132962088,212.666666666667,263.333333333333,50.6666666666667,16.6290245210517,7.73304091066762e-05,3.9946241415864,177.14017862721,248.193154706124,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"108","CR-A:AL-A","FIBB",-2.61593610431729,328.333333333333,392.333333333333,64,9.0037917220653,0.00164140021303834,3.44294387480573,220.287634119093,436.379032547574,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.01"
"109","CR-A:AL-A","FIBG",-2.55869684602735,316.333333333333,381,64.6666666666667,10.5574864338999,0.000461050391318422,3.99051148415666,233.064805503919,399.601861162748,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.001"
"110","CR-A:AL-A","FINC",-0.607452830419116,274,797.333333333333,523.333333333333,14.4033309012202,0.000337731308187074,3.44228017558533,217.630346123711,330.369653876289,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"111","CR-A:AL-A","FLNA",0.514573172829758,-6,14,20,-4.6475800154489,0.0196198257591929,2.94117647058824,-10.1553995031825,-1.8446004968175,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"112","CR-A:AL-A","G3P",0.318529518425498,-7,28.3333333333333,35.3333333333333,-2.26448823727221,0.0862513519643901,4,-15.5825642264303,1.58256422643025,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"113","CR-A:AL-A","GCAB",0.707109610006947,-35,55.3333333333333,90.3333333333333,-1.92119606200692,0.170014725972492,2.46669874622914,-100.75575564708,30.7557556470797,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"114","CR-A:AL-A","GDIB",0,0,6.66666666666667,6.66666666666667,0,1,4,-4.71904925660757,4.71904925660757,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"115","CR-A:AL-A","GDIR1",0.371968777386958,-1.66666666666667,5.66666666666667,7.33333333333333,-0.98058067569092,0.382319325407218,4,-6.38571592327424,3.05238258994091,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"116","CR-A:AL-A","GDN",1.05889368905357,-13,12,25,-4.59619407771256,0.0271218362659629,2.56,-22.9431085350187,-3.05689146498134,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.05"
